Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
1,7.241010891898864e-7,7.189654769129042e-7,7.295009804114069e-7,1.8921052725406075e-8,1.5822799686678898e-8,2.3032131603213292e-8
2,9.975236752678824e-7,9.879694528383507e-7,1.011130413136353e-6,3.7280166040149336e-8,2.940738206407058e-8,4.97438401901011e-8
3,1.199420050119357e-6,1.1890092751676584e-6,1.2132037596784523e-6,4.063717482379832e-8,3.321845007142398e-8,5.548383041397372e-8
4,1.5264641010830372e-6,1.510259374289483e-6,1.5663368135078405e-6,7.607277221506375e-8,4.532708979892476e-8,1.2770166821219226e-7
5,1.7090722901126797e-6,1.6956923707826754e-6,1.7332532796325551e-6,5.797321242655139e-8,3.464146732920671e-8,1.0046855688793931e-7
6,2.113188710794264e-6,2.0898041046748874e-6,2.127723402896949e-6,6.05984694642398e-8,4.6660501137091336e-8,8.272273644475858e-8
7,2.3834576660930695e-6,2.3686904389585297e-6,2.4012726259389164e-6,5.430170230488462e-8,4.5203926348882086e-8,6.628483460540839e-8
8,2.8772956042064373e-6,2.8533945892463373e-6,2.9096439285486272e-6,9.637446989087199e-8,6.258970328768259e-8,1.422284187889591e-7
9,3.794524047579966e-6,3.7730509864025755e-6,3.820590215286032e-6,8.191038099918783e-8,6.660699311943637e-8,1.0464110984235987e-7
10,3.7015840356914013e-6,3.663102659835506e-6,3.741971772178038e-6,1.2934086318242353e-7,1.0706417759563733e-7,1.7264510391006612e-7
12,4.328385851267666e-6,4.2864435627126296e-6,4.361609454163696e-6,1.2298560935565778e-7,9.676385779256031e-8,1.5381026350513255e-7
14,6.007726451507391e-6,5.947420639248047e-6,6.0621050783381855e-6,1.9632981048783207e-7,1.5892909276459215e-7,2.375127707405025e-7
16,7.387038187133716e-6,7.326997944367578e-6,7.459462763684587e-6,2.2976058099982874e-7,1.929696836253553e-7,2.9979408694933596e-7
18,8.12239770371525e-6,8.0601037945544e-6,8.188212125545387e-6,2.0896276027067197e-7,1.7555032240168834e-7,2.4848194204186017e-7
20,9.154077367360515e-6,9.102784485626806e-6,9.222766104749872e-6,2.0632713397274256e-7,1.6970868253962347e-7,2.469424707932836e-7
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
1,7.015597889930813e-7,6.991576796862405e-7,7.045891600295092e-7,9.555127057483836e-9,7.452884337421965e-9,1.180952930475603e-8
2,9.554865590250777e-7,9.505469265236517e-7,9.631779110674399e-7,2.041020058479385e-8,1.539968070870763e-8,2.587237868537978e-8
3,1.1770605807265197e-6,1.1686219934936434e-6,1.1916414382991444e-6,3.739340417046407e-8,2.66816892974308e-8,5.6570445153100645e-8
4,1.4585749777117996e-6,1.4438005260209842e-6,1.4792032473476693e-6,5.5799099462667585e-8,4.870816821846221e-8,6.392537775597893e-8
5,1.6281809850086303e-6,1.611277979639585e-6,1.6457109626890807e-6,5.8537059869788784e-8,5.2002703531525576e-8,6.665957924664036e-8
6,1.9388368299861272e-6,1.9225573956183427e-6,1.9686939112060284e-6,7.35523102212186e-8,4.71918326744602e-8,1.0941000022604674e-7
7,2.1865983269878395e-6,2.1763458219320898e-6,2.2029758749438177e-6,4.076257105050967e-8,2.8252247889323916e-8,5.7538656949029306e-8
8,2.5315356383412612e-6,2.5207445165517238e-6,2.547556038282596e-6,4.565701193201227e-8,3.438721193772167e-8,6.292996791763755e-8
9,2.925200068523258e-6,2.90925508773744e-6,2.954909593944931e-6,6.936997900918134e-8,4.239353310104997e-8,1.175672917933456e-7
10,3.099695642497985e-6,3.08291645698467e-6,3.1232433492982183e-6,6.694022730971617e-8,4.5233932929896604e-8,1.0649440423103386e-7
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
1,7.291621553657868e-7,7.167561502881036e-7,7.609665954955456e-7,6.282497449633025e-8,2.7138595673538473e-8,1.1944953467790999e-7
2,9.994559087636513e-7,9.880331198284618e-7,1.0117489985169773e-6,3.8470258192099875e-8,3.201473158437606e-8,4.762093851269104e-8
3,1.2143674190850358e-6,1.2014090278697617e-6,1.2397889634606939e-6,5.7444289064166694e-8,3.6239676540721476e-8,9.94748268066633e-8
4,1.4552615339511773e-6,1.437838892413616e-6,1.4886509027719873e-6,7.702919632634143e-8,5.612654049906737e-8,1.1437073678861574e-7
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
1,2.1682377540969208e-5,2.1575508177755663e-5,2.1827423091051925e-5,4.0420758336616187e-7,3.236574336994717e-7,5.079654311444436e-7
2,3.3991879812631515e-5,3.372111025567983e-5,3.430857831564086e-5,9.716865845836298e-7,7.836884070688467e-7,1.2015863154688123e-6
